area,average property price 2024 Feb
Barking and Dagenham,328226.00
Barnet,583647.00
Bexley,391250.00
Brent,521609.00
Bromley,505297.00
Camden,858206.00
City of London,808976.00
Croydon,394025.00
Ealing,533943.00
Enfield,425468.00
Greenwich,458920.00
Hackney,589517.00
Hammersmith and Fulham,745123.00
Haringey,556570.00
Harrow,521416.00
Havering,420055.00
Hillingdon,449725.00
Hounslow,445246.00
Islington,645134.00
Kensington and Chelsea,1154639.00
Kingston upon Thames,547883.00
Lambeth,501094.00
Lewisham,418927.00
Merton,538411.00
Newham,396662.00
Redbridge,455499.00
Richmond upon Thames,736499.00
Southwark,495431.00
Sutton,424968.00
Tower Hamlets,453598.00
Waltham Forest,491034.00
Wandsworth,602690.00
Westminster,927909.00
