area,total crime,crime rates
Barking and Dagenham,20860,123
Barnet,28583,91
Bexley,16574,84
Brent,31822,114
Bromley,23740,88
Camden,41947,109
City of London,10499,29
Croydon,33730,109
Ealing,32044,105
Enfield,29588,106
Greenwich,28008,126
Hackney,31148,135
Hammersmith and Fulham,22118,107
Haringey,30059,142
Harrow,15487,78
Havering,20908,100
Hillingdon,28055,91
Hounslow,26661,104
Islington,30286,114
Kensington and Chelsea,23095,119
Kingston upon Thames,12081,80
Lambeth,36227,132
Lewisham,29616,136
Merton,14162,83
Newham,38186,137
Redbridge,24333,104
Richmond upon Thames,12473,75
Southwark,37635,116
Sutton,13235,80
Tower Hamlets,36417,99
Waltham Forest,23235,107
Wandsworth,27060,110
Westminster,90983,134
